No. of processors,Time,TimeMin,TimeMax
2,168.846332,168.815632,168.951987
4,84.788233,85.624909,86.246480
8,48.842349,48.708502,48.899519
16,33.960075,33.406885,34.003454
32,28.414192,28.394191,28.981332
